accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,variant,fold,seconds
0.553082191780822,0.23554209753611438,0.31609437838783006,0.23694735230647296,0.37531839399358247,0.553082191780822,0.42142215107973413,old_stump,0,1.6779286998789757
0.6558219178082192,0.5135953087287478,0.4711306704868724,0.4406014032666869,0.5810067821673488,0.6558219178082192,0.5677521792228488,old_stump,1,1.3061646001879126
0.6583904109589042,0.5328508003725878,0.44805036406214993,0.41735574736452696,0.5836514754803395,0.6583904109589042,0.5603915812466632,old_stump,2,1.501765700057149
0.6438356164383562,0.46054033367284253,0.38364241218143214,0.3441526532342894,0.555524806798769,0.6438356164383562,0.5355449536195264,old_stump,3,1.1539659001864493
0.535958904109589,0.2806828233700114,0.24999532145356823,0.211396519772883,0.42903529558085035,0.535958904109589,0.4277711920259589,old_stump,4,1.3321085998322815
0.8998287671232876,0.8510186987692492,0.8474748021726434,0.847283082373816,0.9017398271375071,0.8998287671232876,0.900085544716537,new_depth3,0,12.68407899979502
0.8904109589041096,0.8789358341890317,0.8769023224748796,0.8742102718554466,0.8979723227686224,0.8904109589041096,0.8925199153022325,new_depth3,1,14.541904000099748
0.9118150684931506,0.874299628693645,0.8475830902563949,0.8583034608105204,0.9148041080160965,0.9118150684931506,0.9124893494084052,new_depth3,2,12.035045800032094
0.9006849315068494,0.8722845488630151,0.8823451311227555,0.8697691013287706,0.9148938332590691,0.9006849315068494,0.9038183072969745,new_depth3,3,12.756274500163272
0.8998287671232876,0.852540599834121,0.8685984708581035,0.8581991905573391,0.9059312360019884,0.8998287671232876,0.9016103231542298,new_depth3,4,14.365115200169384
0.9246575342465754,0.8687599544970649,0.8724759836475382,0.8704674347409445,0.9252909320537714,0.9246575342465754,0.9248571220557031,new_tuned,0,18.72259369981475
0.9195205479452054,0.8950262973553211,0.8808819263103465,0.8876268734263881,0.9205494526602349,0.9195205479452054,0.9199062249094652,new_tuned,1,16.882615600014105
0.9212328767123288,0.8759995575132852,0.8604634185271438,0.8667289419523868,0.9199132163243332,0.9212328767123288,0.9198855175579488,new_tuned,2,16.313224999932572
0.9246575342465754,0.8652717492994955,0.8687646492496486,0.8665009340942703,0.9248390123817557,0.9246575342465754,0.9244812795649267,new_tuned,3,20.547431299928576
0.9306506849315068,0.8732586649312006,0.8708480890632782,0.865917301252012,0.9274364025878534,0.9306506849315068,0.9267749902280314,new_tuned,4,15.741741300094873
