k,classifier,jaccard_mean,jaccard_std,exact_mean,set_recall_mean
3,kNN,0.9654109589041097,0.003127051775299619,0.9308219178082192,0.9769406392694064
3,SVM,0.9845034246575342,0.0007846876189992654,0.9690068493150685,0.9896689497716895
3,MLP,0.9785102739726028,0.0027397260273972672,0.9570205479452054,0.9856735159817351
3,RandomForest,0.9783390410958905,0.0018482048925447668,0.9566780821917809,0.9855593607305935
3,AdaBoost,0.9772260273972602,0.0019784623301868955,0.9544520547945206,0.9848173515981735
3,MQ,0.9103595890410959,0.005745111819122736,0.8222602739726028,0.9398972602739726
4,kNN,0.9641780821917807,0.0022778478285365037,0.9104452054794521,0.9776113013698631
4,SVM,0.9739041095890411,0.002768682593343483,0.9347602739726029,0.9836900684931507
4,MLP,0.9648630136986303,0.005870466393757962,0.9121575342465753,0.9780393835616439
4,RandomForest,0.973013698630137,0.001942116010788673,0.9325342465753425,0.9831335616438356
4,AdaBoost,0.9726712328767123,0.0036590987367651658,0.9316780821917808,0.9829195205479453
4,MQ,0.9217808219178082,0.004737869266176352,0.8051369863013699,0.951027397260274
5,kNN,0.9569634703196348,0.004219113838487687,0.8708904109589041,0.9741780821917807
5,SVM,0.9783675799086758,0.002100270490065523,0.9351027397260274,0.9870205479452053
5,MLP,0.974486301369863,0.003286799097919576,0.9234589041095891,0.9846917808219178
5,RandomForest,0.9769977168949773,0.0018548032887297156,0.9309931506849315,0.9861986301369864
5,AdaBoost,0.9738176777560339,0.001877781475103574,0.9215753424657536,0.9842808219178082
5,MQ,0.930658838878017,0.00371979071825935,0.7933219178082191,0.9582876712328767
