hamming_loss,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,exact_match,jaccard_samples,set_recall,mean_pred_positives,fold,classifier,k
0.012513171759747102,0.979666095890411,0.979666095890411,0.979666095890411,0.9691826772936133,0.973833306504016,0.9708598458420042,0.9186643835616438,0.9674657534246576,0.979666095890411,4.0,0,kNN,4
0.013962065331928345,0.9773116438356164,0.9773116438356164,0.9773116438356164,0.9684159017759864,0.9698766867492838,0.9686134281211666,0.9092465753424658,0.9636986301369862,0.9773116438356164,4.0,1,kNN,4
0.013040042149631191,0.9788099315068494,0.9788099315068494,0.9788099315068494,0.9713816097126382,0.970060055850331,0.9700806367933213,0.9152397260273972,0.966095890410959,0.9788099315068494,4.0,2,kNN,4
0.014752370916754479,0.976027397260274,0.976027397260274,0.976027397260274,0.9613698285453423,0.9696171844284791,0.9647762029525241,0.9041095890410958,0.9616438356164382,0.976027397260274,4.0,3,kNN,4
0.014620653319283456,0.9762414383561644,0.9762414383561644,0.9762414383561644,0.9714036632064436,0.970028563153587,0.9705045242110422,0.9049657534246576,0.961986301369863,0.9762414383561644,4.0,4,kNN,4
0.008166491043203371,0.9867294520547946,0.9867294520547946,0.9867294520547946,0.9781768082449951,0.9832869478798693,0.9801611030819869,0.946917808219178,0.9787671232876712,0.9867294520547946,4.0,0,SVM,4
0.011195995785036881,0.981806506849315,0.981806506849315,0.981806506849315,0.9747920981281796,0.9777535955796439,0.9756177082264416,0.9272260273972602,0.9708904109589042,0.981806506849315,4.0,1,SVM,4
0.00987881981032666,0.9839469178082192,0.9839469178082192,0.9839469178082192,0.9775037679114025,0.9813434948153241,0.9787234766199309,0.9357876712328768,0.9743150684931506,0.9839469178082192,4.0,2,SVM,4
0.010932560590094837,0.9822345890410958,0.9822345890410958,0.9822345890410958,0.9706374024675346,0.9777751236166206,0.9734762715848395,0.9289383561643836,0.9715753424657536,0.9822345890410958,4.0,3,SVM,4
0.010010537407797681,0.9837328767123288,0.9837328767123288,0.9837328767123288,0.9785700632472907,0.982447213935632,0.9799941595945896,0.934931506849315,0.973972602739726,0.9837328767123288,4.0,4,SVM,4
0.010405690200210748,0.9830907534246576,0.9830907534246576,0.9830907534246576,0.9699946456910614,0.9794225215177281,0.9740533626564679,0.9323630136986302,0.9729452054794522,0.9830907534246576,4.0,0,MLP,4
0.01685985247629083,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9630305235728854,0.962184419752053,0.9619849978776178,0.8904109589041096,0.9561643835616436,0.9726027397260274,4.0,1,MLP,4
0.01356691253951528,0.9779537671232876,0.9779537671232876,0.9779537671232876,0.9705166237159868,0.9750824538415546,0.9718463939482145,0.9118150684931506,0.9647260273972602,0.9779537671232876,4.0,2,MLP,4
0.014884088514225501,0.9758133561643836,0.9758133561643836,0.9758133561643836,0.964951973702958,0.9656551318034079,0.9645343681509838,0.9032534246575342,0.9613013698630136,0.9758133561643836,4.0,3,MLP,4
0.01185458377239199,0.980736301369863,0.980736301369863,0.980736301369863,0.973670206529092,0.9737412593218456,0.9732375530770226,0.922945205479452,0.9691780821917808,0.980736301369863,4.0,4,MLP,4
0.009351949420442571,0.9848030821917808,0.9848030821917808,0.9848030821917808,0.9719773996452463,0.9821711347309365,0.9765346253630514,0.9392123287671232,0.9756849315068492,0.9848030821917808,4.0,0,RandomForest,4
0.011195995785036881,0.981806506849315,0.981806506849315,0.981806506849315,0.9739218805879978,0.9774433134975217,0.9750693761999808,0.9272260273972602,0.9708904109589042,0.981806506849315,4.0,1,RandomForest,4
0.010932560590094837,0.9822345890410958,0.9822345890410958,0.9822345890410958,0.9739167783403158,0.9747571551007888,0.9738389735542191,0.9289383561643836,0.9715753424657534,0.9822345890410958,4.0,2,RandomForest,4
0.010800842992623814,0.9824486301369864,0.9824486301369864,0.9824486301369864,0.9717732150364148,0.976117224316263,0.9733283078285269,0.9297945205479452,0.971917808219178,0.9824486301369864,4.0,3,RandomForest,4
0.009615384615384616,0.984375,0.984375,0.984375,0.9804666759614753,0.9811880542100779,0.9805939661703618,0.9375,0.9749999999999998,0.984375,4.0,4,RandomForest,4
0.009483667017913594,0.9845890410958904,0.9845890410958904,0.9845890410958904,0.9705861745555278,0.9808770958117756,0.9750896813397189,0.9383561643835616,0.9753424657534246,0.9845890410958904,4.0,0,AdaBoost,4
0.011064278187565859,0.9820205479452054,0.9820205479452054,0.9820205479452054,0.9752886180543645,0.9761109607537883,0.9748856278762007,0.928082191780822,0.9712328767123288,0.9820205479452054,4.0,1,AdaBoost,4
0.009615384615384616,0.984375,0.984375,0.984375,0.9774171241386804,0.9814166388263362,0.9789029181661572,0.9375,0.975,0.984375,4.0,2,AdaBoost,4
0.013040042149631191,0.9788099315068494,0.9788099315068494,0.9788099315068494,0.9685399187799908,0.9710495991835194,0.9692736350088986,0.9152397260273972,0.966095890410959,0.9788099315068494,4.0,3,AdaBoost,4
0.009351949420442571,0.9848030821917808,0.9848030821917808,0.9848030821917808,0.9796372951386421,0.9799917189672969,0.9795907575966344,0.9392123287671232,0.9756849315068492,0.9848030821917808,4.0,4,AdaBoost,4
0.032534246575342464,0.9471318493150684,0.9471318493150684,0.9471318493150684,0.8705949904194188,0.8532580034261295,0.8555003819853539,0.788527397260274,0.9154109589041094,0.9471318493150684,4.0,0,MQ,4
0.02792413066385669,0.9546232876712328,0.9546232876712328,0.9546232876712328,0.8705075983255585,0.8616885608420316,0.8632744628991849,0.8193493150684932,0.9275114155251141,0.9546232876712328,4.0,1,MQ,4
0.029768177028451002,0.9516267123287672,0.9516267123287672,0.9516267123287672,0.866456782621434,0.8601797192479025,0.8600013464155667,0.8082191780821918,0.9228310502283106,0.9516267123287672,4.0,2,MQ,4
0.031875658587987354,0.9482020547945206,0.9482020547945206,0.9482020547945206,0.8608837414077606,0.8519531926959019,0.8506051011063932,0.7936643835616438,0.9172374429223745,0.9482020547945206,4.0,3,MQ,4
0.028582718651211803,0.9535530821917808,0.9535530821917808,0.9535530821917808,0.8797475964981553,0.8600300950689583,0.8656272119631535,0.8159246575342466,0.9259132420091325,0.9535530821917808,4.0,4,MQ,4
